    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
   0, 2024-11-01 01:35:00+00:00, 69737.6, 69940.7, 69700.4, 69822.2,   11.4,  70614.0,   70234.1,  69854.3, -0.0
   1, 2024-11-01 01:40:00+00:00, 69822.4, 69983.2, 69766.0, 69930.7,   14.2,  70611.2,   70213.2,  69815.3, 0.1
   2, 2024-11-01 01:45:00+00:00, 69929.2, 70054.0, 69783.8, 69783.8,    6.6,  70614.5,   70183.3,  69752.1, 0.0
   3, 2024-11-01 01:50:00+00:00, 69787.8, 69787.8, 69463.6, 69634.8,   24.9,  70615.6,   70142.1,  69668.7, -0.0
   4, 2024-11-01 01:55:00+00:00, 69624.9, 69624.9, 69306.7, 69406.7,   15.3,  70639.6,   70089.9,  69540.1, -0.1
   5, 2024-11-01 02:00:00+00:00, 69396.6, 69531.3, 69109.6, 69121.4,   39.2,  70700.3,   70026.1,  69351.8, -0.2
   6, 2024-11-01 02:05:00+00:00, 69121.4, 69238.2, 68963.1, 68999.9,  120.7,  70735.6,   69954.2,  69172.7, -0.1
   7, 2024-11-01 02:10:00+00:00, 68999.9, 69000.0, 68850.0, 69000.0,   84.1,  70764.6,   69892.2,  69019.8, -0.0
   8, 2024-11-01 02:15:00+00:00, 69000.0, 69287.2, 69000.0, 69242.3,   74.2,  70753.8,   69846.5,  68939.2, 0.2
   9, 2024-11-01 02:20:00+00:00, 69251.1, 69375.0, 69217.3, 69294.7,   10.0,  70715.3,   69798.3,  68881.3, 0.2
  10, 2024-11-01 02:25:00+00:00, 69298.4, 69460.0, 69237.2, 69392.1,   55.6,  70641.3,   69748.9,  68856.5, 0.3
  11, 2024-11-01 02:30:00+00:00, 69392.1, 69436.4, 69301.5, 69430.2,    9.1,  70573.2,   69706.1,  68839.0, 0.3
  12, 2024-11-01 02:35:00+00:00, 69430.1, 69499.9, 69373.6, 69475.0,    9.7,  70516.3,   69671.2,  68826.2, 0.4
  13, 2024-11-01 02:40:00+00:00, 69471.9, 69483.1, 69324.3, 69324.3,    6.4,  70443.7,   69626.1,  68808.6, 0.3
  14, 2024-11-01 02:45:00+00:00, 69319.7, 69319.7, 69161.3, 69161.3,    4.1,  70360.3,   69571.7,  68783.1, 0.2
  15, 2024-11-01 02:50:00+00:00, 69160.4, 69454.0, 69136.3, 69430.6,    6.1,  70232.6,   69526.1,  68819.7, 0.4
  16, 2024-11-01 02:55:00+00:00, 69428.5, 69596.9, 69417.2, 69572.6,    7.7,  70130.9,   69494.8,  68858.6, 0.6
  17, 2024-11-01 03:00:00+00:00, 69572.7, 69592.3, 69496.1, 69516.6,    3.8,  70043.0,   69466.5,  68889.9, 0.5
  18, 2024-11-01 03:05:00+00:00, 69516.6, 69636.6, 69494.5, 69624.9,    3.0,  69961.2,   69445.0,  68928.8, 0.7
  19, 2024-11-01 03:10:00+00:00, 69625.0, 69640.6, 69517.4, 69555.0,    5.0,  69937.6,   69436.0,  68934.3, 0.6
  20, 2024-11-01 03:15:00+00:00, 69557.8, 69643.7, 69535.2, 69643.7,    3.1,  69906.8,   69427.0,  68947.3, 0.7
  21, 2024-11-01 03:20:00+00:00, 69643.6, 69695.5, 69613.2, 69667.6,    3.1,  69850.1,   69413.9,  68977.6, 0.8
  22, 2024-11-01 03:25:00+00:00, 69667.6, 69706.7, 69616.1, 69639.3,    1.7,  69822.4,   69406.6,  68990.9, 0.8
  23, 2024-11-01 03:30:00+00:00, 69632.9, 69665.5, 69594.1, 69609.1,    2.3,  69818.5,   69405.4,  68992.2, 0.7
  24, 2024-11-01 03:35:00+00:00, 69609.1, 69611.2, 69516.8, 69520.4,    2.9,  69827.2,   69411.1,  68994.9, 0.6
  25, 2024-11-01 03:40:00+00:00, 69522.0, 69529.2, 69458.9, 69467.4,    1.3,  69823.1,   69428.4,  69033.6, 0.5
  26, 2024-11-01 03:45:00+00:00, 69467.3, 69489.7, 69381.0, 69436.3,    3.1,  69792.6,   69450.2,  69107.8, 0.5
  27, 2024-11-01 03:50:00+00:00, 69432.8, 69432.9, 69334.0, 69339.6,    2.2,  69746.4,   69467.1,  69187.9, 0.3
  28, 2024-11-01 03:55:00+00:00, 69339.6, 69424.3, 69339.6, 69365.7,    1.9,  69737.5,   69473.3,  69209.1, 0.3
  29, 2024-11-01 04:00:00+00:00, 69365.7, 69376.9, 69341.4, 69367.8,    3.1,  69733.1,   69477.0,  69220.9, 0.3
  30, 2024-11-01 04:05:00+00:00, 69364.4, 69450.4, 69357.8, 69437.0,    3.2,  69733.1,   69479.2,  69225.4, 0.4
  31, 2024-11-01 04:10:00+00:00, 69434.5, 69438.0, 69381.6, 69427.7,    1.8,  69733.1,   69479.1,  69225.1, 0.4
  32, 2024-11-01 04:15:00+00:00, 69429.0, 69480.6, 69409.0, 69454.0,    2.0,  69732.2,   69478.0,  69223.9, 0.5
  33, 2024-11-01 04:20:00+00:00, 69454.0, 69487.2, 69357.5, 69484.1,    4.6,  69730.2,   69486.0,  69241.8, 0.5
  34, 2024-11-01 04:25:00+00:00, 69487.4, 69510.2, 69458.5, 69502.0,    3.1,  69696.6,   69503.1,  69309.6, 0.5
  35, 2024-11-01 04:30:00+00:00, 69502.2, 69556.2, 69489.9, 69509.4,   16.8,  69697.6,   69507.0,  69316.4, 0.5
  36, 2024-11-01 04:35:00+00:00, 69509.4, 69552.0, 69500.4, 69535.1,    1.1,  69693.9,   69505.1,  69316.4, 0.6
  37, 2024-11-01 04:40:00+00:00, 69535.0, 69576.7, 69535.0, 69572.7,    0.7,  69698.9,   69507.9,  69317.0, 0.7
  38, 2024-11-01 04:45:00+00:00, 69575.0, 69629.1, 69575.0, 69593.0,    1.1,  69693.9,   69506.3,  69318.8, 0.7
  39, 2024-11-01 04:50:00+00:00, 69585.4, 69622.1, 69547.5, 69562.8,    2.7,  69694.7,   69506.7,  69318.8, 0.6
  40, 2024-11-01 04:55:00+00:00, 69562.8, 69593.9, 69534.3, 69593.9,    1.4,  69686.1,   69504.2,  69322.4, 0.7
  41, 2024-11-01 05:00:00+00:00, 69596.5, 69612.9, 69552.4, 69610.1,    1.2,  69674.4,   69501.4,  69328.3, 0.8
  42, 2024-11-01 05:05:00+00:00, 69610.2, 69636.4, 69541.0, 69541.0,    1.4,  69658.8,   69496.5,  69334.1, 0.6
  43, 2024-11-01 05:10:00+00:00, 69541.1, 69566.0, 69525.9, 69557.2,    1.5,  69650.5,   69493.9,  69337.2, 0.7
  44, 2024-11-01 05:15:00+00:00, 69557.2, 69600.2, 69527.7, 69600.2,    1.3,  69660.9,   69497.9,  69334.8, 0.8
  45, 2024-11-01 05:20:00+00:00, 69600.2, 69636.2, 69578.4, 69591.9,    1.9,  69671.5,   69504.1,  69336.7, 0.8
  46, 2024-11-01 05:25:00+00:00, 69593.4, 69616.9, 69573.8, 69616.9,    2.0,  69684.3,   69513.1,  69341.9, 0.8
  47, 2024-11-01 05:30:00+00:00, 69617.0, 69646.6, 69614.1, 69614.1,    1.8,  69683.6,   69526.8,  69370.0, 0.8
  48, 2024-11-01 05:35:00+00:00, 69606.7, 69646.7, 69606.6, 69634.8,    1.2,  69685.2,   69540.3,  69395.4, 0.8
  49, 2024-11-01 05:40:00+00:00, 69634.8, 69648.5, 69588.8, 69634.9,    2.1,  69680.6,   69553.6,  69426.6, 0.8
  50, 2024-11-01 05:45:00+00:00, 69634.9, 69672.6, 69600.0, 69600.0,    3.3,  69678.3,   69561.8,  69445.3, 0.7
  51, 2024-11-01 05:50:00+00:00, 69600.0, 69610.8, 69585.1, 69607.8,    2.1,  69671.2,   69570.8,  69470.4, 0.7
  52, 2024-11-01 05:55:00+00:00, 69607.8, 69626.4, 69601.0, 69612.8,    1.0,  69665.0,   69578.7,  69492.4, 0.7
  53, 2024-11-01 06:00:00+00:00, 69612.8, 69699.3, 69597.5, 69644.6,    4.0,  69665.9,   69586.8,  69507.6, 0.9
  54, 2024-11-01 06:05:00+00:00, 69644.6, 69644.6, 69519.8, 69519.8,    3.3,  69663.3,   69587.6,  69512.0, 0.1
  55, 2024-11-01 06:10:00+00:00, 69519.9, 69525.0, 69405.0, 69405.1,    4.9,  69687.6,   69582.4,  69477.3, -0.3
  56, 2024-11-01 06:15:00+00:00, 69405.1, 69465.1, 69369.9, 69374.9,   15.4,  69712.1,   69574.4,  69436.7, -0.2
  57, 2024-11-01 06:20:00+00:00, 69374.9, 69445.2, 69350.8, 69356.1,    7.3,  69731.0,   69563.6,  69396.2, -0.1
  58, 2024-11-01 06:25:00+00:00, 69356.1, 69386.0, 69309.2, 69309.3,    3.1,  69749.4,   69549.4,  69349.4, -0.1
